Check Type,Issue
file_naming,File doesn't match naming pattern: extra_parFifth_rue1024a.krn
file_naming,File doesn't match naming pattern: Jos1408-Miserimini_mei.krn
file_naming,File doesn't match naming pattern: Jos1408-test.krn
file_naming,File doesn't match naming pattern: Rue1024a.krn
header_consistency,Could not determine composer code for c:\Users\T460\Documents\Uni_spul\Jaar_7\Scriptie\CounterpointConsensus2\CounterpointConsensus\data\test\extra_parFifth_rue1024a.krn
header_consistency,Could not determine composer code for c:\Users\T460\Documents\Uni_spul\Jaar_7\Scriptie\CounterpointConsensus2\CounterpointConsensus\data\test\Jos1408-Miserimini_mei.krn
header_consistency,Could not determine composer code for c:\Users\T460\Documents\Uni_spul\Jaar_7\Scriptie\CounterpointConsensus2\CounterpointConsensus\data\test\Jos1408-test.krn
header_consistency,Could not determine composer code for c:\Users\T460\Documents\Uni_spul\Jaar_7\Scriptie\CounterpointConsensus2\CounterpointConsensus\data\test\Rue1024a.krn
time_signature,Invalid time signature format in Rue1024a.krn: *M3/3%2
percent_signs,"File Rue1024a.krn has % signs on lines: [98, 100, 102, 104, 106, 108, 110, 112, 113, 116, 117, 119, 124, 126, 128, 130, 132, 133, 135, 136, 138, 140, 142, 271, 273, 275, 277, 278, 280, 283, 284, 286, 290, 292, 294, 295, 297, 299, 300, 305, 307, 309, 311, 312, 314, 316, 317, 321]"
